height,geometry
6,"POLYGON ((246734.81209999975 2551681.0854, 246728.20710000023 2551669.076300001, 246717.9994000001 2551675.0808000006, 246724.6043999996 2551685.8890000004, 246734.81209999975 2551681.0854))"
4,"POLYGON ((245970.91949999984 2551678.193, 245970.91949999984 2551671.5878999997, 245969.11820000038 2551669.7865999993, 245965.51539999992 2551670.3871, 245969.11820000038 2551676.3915999997, 245969.11820000038 2551678.193, 245970.91949999984 2551678.193))"
17,"POLYGON ((245689.19859999977 2551695.185900001, 245683.02020000014 2551668.6186999995, 245660.80339999963 2551675.824100001, 245667.88239999954 2551698.8307000007, 245689.19859999977 2551695.185900001))"
4,"POLYGON ((246893.62629999965 2551670.8132000007, 246877.2276999997 2551669.3225, 246874.8258999996 2551681.331599999, 246891.44010000024 2551685.023600001, 246893.62629999965 2551670.8132000007))"
6,"POLYGON ((246703.5884999996 2551677.4825999998, 246698.18439999968 2551667.2749000005, 246686.17530000024 2551671.4781, 246691.57940000016 2551683.4871999994, 246703.5884999996 2551677.4825999998))"
6,"POLYGON ((246559.96490000002 2551680.594799999, 246555.1612999998 2551667.9853000008, 246540.58129999973 2551674.9836999997, 246544.95359999966 2551686.8495000005, 246559.96490000002 2551680.594799999))"
8,"POLYGON ((246784.13239999954 2551680.6586000007, 246777.44429999962 2551666.6744999997, 246765.43520000018 2551672.0785000008, 246771.88219999988 2551685.558599999, 246784.13239999954 2551680.6586000007))"
7,"POLYGON ((244547.56170000043 2551695.6391000003, 244551.76489999983 2551672.821799999, 244539.9617999997 2551668.8874999993, 244525.97750000004 2551669.795600001, 244526.2226999998 2551683.3496000003, 244521.7422000002 2551683.0296, 244521.7422000002 2551690.8355, 244547.56170000043 2551695.6391000003), (244539.15529999975 2551684.8309000004, 244540.95669999998 2551683.630000001, 244543.9589999998 2551684.2304999996, 244541.55709999986 2551686.0318, 244539.15529999975 2551684.8309000004))"
10,"POLYGON ((245085.8485000003 2551703.4684999995, 245085.8485000003 2551665.0395, 245075.0404000003 2551665.6399000008, 245073.83949999977 2551704.069, 245085.8485000003 2551703.4684999995), (245077.4422000004 2551690.8589999992, 245078.04260000028 2551690.8589999992, 245078.04260000028 2551691.4594, 245077.4422000004 2551690.8589999992), (245078.6431 2551676.4481000006, 245081.0449000001 2551677.649, 245079.24349999987 2551677.0484999996, 245078.6431 2551676.4481000006))"
10,"POLYGON ((245104.4626000002 2551704.069, 245103.8945000004 2551667.7105, 245092.0876000002 2551667.0988, 245091.25260000024 2551704.669399999, 245104.4626000002 2551704.069))"
5,"POLYGON ((246476.20019999985 2551679.8199000005, 246470.49729999993 2551666.7843999993, 246457.28729999997 2551670.9875000007, 246465.69359999988 2551684.1975, 246476.20019999985 2551679.8199000005))"
6,"POLYGON ((246836.2888000002 2551673.879899999, 246830.2843000004 2551665.4736, 246812.8711000001 2551672.6789999995, 246818.8755999999 2551684.688100001, 246836.2888000002 2551673.879899999))"
5,"POLYGON ((246265.48000000045 2551677.8409, 246261.87729999982 2551665.8319000006, 246258.875 2551664.6308999993, 246249.86820000038 2551668.8341000006, 246254.67179999966 2551681.4437000006, 246265.48000000045 2551677.8409))"
5,"POLYGON ((245475.2631000001 2551675.824100001, 245474.66270000022 2551666.8172999993, 245468.65809999965 2551664.4155, 245462.05310000014 2551666.8172999993, 245462.05310000014 2551675.824100001, 245470.45949999988 2551677.625499999, 245475.2631000001 2551675.824100001))"
6,"POLYGON ((246307.51180000044 2551674.8387, 246302.70820000023 2551663.4299999997, 246290.69909999985 2551669.4345999993, 246294.30179999955 2551680.242799999, 246307.51180000044 2551674.8387))"
14,"POLYGON ((245448.2427000003 2551671.0205000006, 245449.44359999988 2551669.2191000003, 245447.04179999977 2551662.013699999, 245440.43680000026 2551663.8149999995, 245442.23809999973 2551669.819599999, 245448.2427000003 2551671.0205000006))"
16,"POLYGON ((245719.04739999957 2551671.3006999996, 245719.04739999957 2551663.2146000005, 245699.23249999993 2551666.8172999993, 245701.2265999997 2551675.458900001, 245719.04739999957 2551671.3006999996))"
8,"POLYGON ((246751.62480000034 2551670.8775999993, 246743.21839999966 2551660.6699, 246731.20940000005 2551667.2749000005, 246737.21389999986 2551679.284, 246751.62480000034 2551670.8775999993))"
5,"POLYGON ((245519.09630000032 2551683.630000001, 245517.2949000001 2551682.4290999994, 245517.2949000001 2551680.627800001, 245527.01489999983 2551679.2391, 245525.10080000013 2551662.013699999, 245509.48900000006 2551661.4132000003, 245506.48670000024 2551684.8309000004, 245515.49349999987 2551686.6323000006, 245519.09630000032 2551683.630000001))"
7,"POLYGON ((246522.7379999999 2551681.1943999995, 246532.00229999982 2551674.068, 246528.14080000017 2551661.3803000003, 246515.53129999992 2551667.3848, 246521.53579999972 2551680.594799999, 246522.7379999999 2551681.1943999995))"
6,"POLYGON ((246644.14350000024 2551668.4758, 246638.7394000003 2551659.4690000005, 246621.32629999984 2551667.2749000005, 246626.12990000006 2551678.6834999993, 246644.14350000024 2551668.4758))"
18,"POLYGON ((247374.45440000016 2551671.4596999995, 247371.45210000034 2551661.2520000003, 247333.02309999987 2551661.852499999, 247335.8311999999 2551678.7015000004, 247374.45440000016 2551671.4596999995))"
